overall_rank,country,invasion_threat,invasion_cost.x,total_cost_rank,invasion_cost.y,gdp_mean,gdp_proportion,prop_gdp_rank
116,Qatar,0.388,5000000,122,5000000,50556000000,1e-4,123
117,Russian Federation,0.3823,NA,NA,NA,NA,NA,NA
118,Rwanda,0.3788,255100000,97,255000000,2842000000,0.0898,21
119,Togo,0.3533,153200000,105,153000000,2088000000,0.0734,27
120,Spain,0.3459,5576000000,23,5576000000,1066190000000,0.0052,102
121,Ghana,0.3264,1114000000,55,1114000000,14338000000,0.0777,26
122,Nigeria,0.3194,10251000000,12,10251000000,110790000000,0.0925,19
123,Italy,0.1135,1447000000,42,1447000000,1690781000000,9e-4,121
124,Malaysia,0.0766,333000000,89,333000000,145539000000,0.0023,113
NA,Korea,NA,14349000000,6,14349000000,759097000000,0.0189,74
NA,Russian,NA,5084000000,24,5084000000,786992000000,0.0065,96
NA,United,NA,4005000000,27,4005000000,2100502000000,0.0019,115
NA,South,NA,3922000000,28,3922000000,210088000000,0.0187,75
NA,Czech,NA,1336000000,49,1336000000,129245000000,0.0103,86
NA,Dominican,NA,873000000,64,873000000,32263000000,0.0271,65
NA,Sri,NA,829100000,66,829000000,25653000000,0.0323,57
NA,Saudi,NA,803500000,68,804000000,293502000000,0.0027,109
NA,New,NA,639700000,72,640000000,96355000000,0.0066,94
NA,Burkina,NA,557700000,76,558000000,5244000000,0.1064,16
NA,Costa,NA,556800000,77,557000000,21335000000,0.0261,67
NA,El,NA,475100000,83,475000000,16994000000,0.028,64
NA,Bosnia,NA,327400000,90,327000000,11055000000,0.0296,62
NA,Georgia,NA,301500000,92,301000000,6670000000,0.0452,41
NA,Congo,NA,212800000,100,213000000,6084000000,0.035,54
NA,Cape,NA,40800000,114,41000000,1004000000,0.0406,46
NA,Trinidad,NA,28800000,117,29000000,15415000000,0.0019,116
NA,Equatorial,NA,16500000,120,16000000,7436000000,0.0022,114
