country,source_invasion_cost,source_rank,overall_rank,invasion_threat,invasion_cost,total_cost_rank,gdp_mean,gdp_proportion,prop_gdp_rank
Estonia,101600000,85,48,0.7624,102100000,109,13669000000,0.0075,91
Mozambique,95900000,86,20,0.8959,1218000000,53,6423000000,0.1897,5
Luxembourg,89100000,87,12,0.9456,64700000,112,36255000000,0.0018,117
Equatorial,82700000,88,NA,NA,16500000,120,7436000000,0.0022,114
Malta,74500000,89,96,0.5364,14400000,121,5947000000,0.0024,111
Ethiopia,66200000,90,52,0.7451,2312000000,34,14344000000,0.1612,10
Malawi,63300000,91,75,0.6387,1071000000,58,3000000000,0.3569,1
Georgia,62600000,92,NA,NA,301500000,92,6670000000,0.0452,41
Honduras,61800000,93,60,0.7056,794300000,69,10042000000,0.0791,25
Cyprus,58400000,94,91,0.5819,108500000,108,16483000000,0.0066,95
Tajikistan,57500000,95,106,0.4946,297100000,93,2579000000,0.1152,13
Dominican,51400000,96,NA,NA,873000000,64,32263000000,0.0271,65
Guinea,47400000,97,40,0.8054,977500000,60,3380000000,0.2892,3
Guinea,47400000,97,40,0.8054,977500000,60,513000000,0.2226,4
Guinea,47400000,97,40,0.8054,114300000,107,3380000000,0.2892,3
Guinea,47400000,97,40,0.8054,114300000,107,513000000,0.2226,4
Madagascar,39200000,98,34,0.8385,1074000000,57,5842000000,0.1838,6
Nicaragua,38100000,99,79,0.6174,264100000.00000003,96,6361000000,0.0415,45
Macedonia,35000000,100,97,0.5313,218400000,99,6094000000,0.0358,51
Jamaica,34300000,101,47,0.7673,871700000,65,10813000000,0.0806,24
Laos,31700000,102,14,0.9393,508200000,81,3134000000,0.1622,9
Moldova,30200000,103,15,0.938,387500000,87,3130000000,0.1238,12
Iceland,29500000,104,101,0.5083,4800000,123,13206000000,4e-4,122
Mali,28200000,105,109,0.4524,504700000,82,5365000000,0.0941,18
Fiji,26600000,106,30,0.8539,87100000,110,2619000000,0.0333,56
Armenia,24300000,107,18,0.9053,336000000,88,5359000000,0.0627,28
Niger,23300000,108,107,0.4762,197300000,102,3366000000,0.0586,34
Nepal,22700000,109,3,0.9856,1411000000,44,8411000000,0.1678,8
Burkina,19200000,110,NA,NA,557700000,76,5244000000,0.1064,16
Rwanda,16100000.000000002,111,118,0.3788,255100000,97,2842000000,0.0898,21
Mongolia,14200000,112,1,0.9922,64700000,111,2777000000,0.0233,69
Barbados,12100000,113,25,0.8762,20300000,119,2998000000,0.0068,93
Kyrgyzstan,9200000,114,102,0.5019,302000000,91,2756000000,0.1096,15
Suriname,7900000,115,94,0.5566,36500000,116,2025000000,0.018,76
Vanuatu,7600000,116,51,0.7529,23500000,118,401000000,0.0585,35
Albania,7300000,117,7,0.9634,637200000,73,7864000000,0.081,22
Qatar,5500000,118,116,0.388,5000000,122,50556000000,1e-4,123
Bosnia,4400000,119,NA,NA,327400000,90,11055000000,0.0296,62
Belize,4300000,120,92,0.5775,42200000,113,1100000000,0.0384,48
Gambia,3600000,121,82,0.6104,37600000,115,706000000,0.0533,37
Guinea,1800000,122,40,0.8054,977500000,60,3380000000,0.2892,3
Guinea,1800000,122,40,0.8054,977500000,60,513000000,0.2226,4
Guinea,1800000,122,40,0.8054,114300000,107,3380000000,0.2892,3
Guinea,1800000,122,40,0.8054,114300000,107,513000000,0.2226,4
Burundi,1600000,123,105,0.4959,397900000,85,1121000000,0.3551,2
Cape,300000,124,NA,NA,40800000,114,1004000000,0.0406,46
Guinea-Bissau,NA,NA,2,0.9903,NA,NA,NA,NA,NA
El Salvador,NA,NA,17,0.9184,NA,NA,NA,NA,NA
Czech Republic,NA,NA,19,0.899,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,NA,21,0.8812,NA,NA,NA,NA,NA
South Africa,NA,NA,26,0.8646,NA,NA,NA,NA,NA
Dominican Republic,NA,NA,28,0.8591,NA,NA,NA,NA,NA
Korea Republic of,NA,NA,35,0.8349,NA,NA,NA,NA,NA
